Flavour,BrewID
American Pale Ale (APA),73
American Pale Ale (APA),73
American Dark Wheat Ale,74
American Dark Wheat Ale,74
American Dark Wheat Ale,74
American Dark Wheat Ale,74
American IPA,74
American IPA,74
American IPA,74
American IPA,74
American Pale Ale (APA),74
American Pale Ale (APA),74
American Pale Ale (APA),74
American Pale Ale (APA),74
American Strong Ale,74
American Strong Ale,74
Bière de Garde,74
Bière de Garde,74
Dortmunder / Export Lager,74
Dortmunder / Export Lager,74
Märzen / Oktoberfest,74
Märzen / Oktoberfest,74
American Black Ale,75
American Black Ale,75
American Black Ale,75
American Black Ale,75
American IPA,75
American IPA,75
American IPA,75
American IPA,75
Extra Special / Strong Bitter (ESB),75
Extra Special / Strong Bitter (ESB),75
German Pilsener,75
German Pilsener,75
American Brown Ale,76
American Brown Ale,76
American IPA,76
American IPA,76
American Pale Wheat Ale,76
American Pale Wheat Ale,76
American Pale Wheat Ale,76
American Pale Wheat Ale,76
Rye Beer,76
Rye Beer,76
Witbier,76
Witbier,76
American Amber / Red Ale,77
American Amber / Red Ale,77
American Pale Ale (APA),77
American Pale Ale (APA),77
American Pale Wheat Ale,77
American Pale Wheat Ale,77
American Stout,77
American Stout,77
American IPA,78
American IPA,78
American Amber / Red Ale,79
American Amber / Red Ale,79
American Brown Ale,79
American Brown Ale,79
American Amber / Red Ale,80
American Amber / Red Ale,80
American Amber / Red Ale,80
American Amber / Red Ale,80
American IPA,80
American IPA,80
American IPA,80
American IPA,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Pale Wheat Ale,80
American Stout,80
American Stout,80
American Strong Ale,80
American Strong Ale,80
American Strong Ale,80
American Strong Ale,80
American White IPA,80
American White IPA,80
Cider,80
Cider,80
Czech Pilsener,80
Czech Pilsener,80
Radler,80
Radler,80
American IPA,81
American IPA,81
American Pale Ale (APA),81
American Pale Ale (APA),81
American Pale Lager,81
American Pale Lager,81
Fruit / Vegetable Beer,81
Fruit / Vegetable Beer,81
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Ale,82
American Amber / Red Lager,82
American Amber / Red Lager,82
American IPA,82
American IPA,82
American IPA,82
American IPA,82
American IPA,82
American IPA,82
American IPA,82
American IPA,82
American Pale Lager,82
American Pale Lager,82
American Pale Lager,82
American Pale Lager,82
American Pale Lager,82
American Pale Lager,82
American Pale Wheat Ale,82
American Pale Wheat Ale,82
American Pale Wheat Ale,82
American Pale Wheat Ale,82
American Pale Wheat Ale,82
American Pale Wheat Ale,82
Czech Pilsener,82
Czech Pilsener,82
Euro Dark Lager,82
Euro Dark Lager,82
American IPA,83
American IPA,83
American IPA,83
American IPA,83
American Pale Ale (APA),83
American Pale Ale (APA),83
